Instrument,CompanyName,BusinessSector,CompanyMarketCap,CreditCombinedPD,ReturnOnAssets,TotalDebttoCommonEquity,PriceMomentumT12MVolatility
CBRL.OQ,Cracker Barrel Old Country Store Inc,Cyclical Consumer Services,1598881021.84,0.401112,,0.8577,7.750532
CR.N,Crane Co,Industrial Goods,6492798772.4,0.044115,,0.21016,
CXT.N,Crane NXT Co,Industrial Goods,3147685971.44,0.102718,10.15,1.07783,8.719802
BAP.N,Credicorp Ltd,Banking & Investment Services,11788381260.0,0.09011,1.9,1.35223,8.939632
CACC.OQ,Credit Acceptance Corp,Banking & Investment Services,6584802601.43,0.392401,7.679,2.82679,14.689257
CRDO.OQ,Credo Technology Group Holding Ltd,Technology Equipment,3014281279.8,0.03082,2.25,,25.169373
CRGY.N,Crescent Energy Co,Energy - Fossil Fuels,2132527687.88,0.90205,4.11,1.48366,14.191162
CRCT.OQ,Cricut Inc,Technology Equipment,1365410540.83,0.030184,6.2,0.0,23.190571
CRNX.OQ,Crinetics Pharmaceuticals Inc,Pharmaceuticals & Medical Research,2484264367.83,0.085979,-46.619,,21.166985
CRSP.OQ,CRISPR Therapeutics AG,Pharmaceuticals & Medical Research,5103534655.5,0.101942,-26.03,,12.014229
CROX.OQ,Crocs Inc,Cyclical Consumer Products,6261983151.97,0.204461,22.399,2.83935,13.151514
CCRN.OQ,Cross Country Healthcare Inc,Industrial & Commercial Services,789488046.08,0.097698,23.519,0.3253,11.462937
CRWD.OQ,CrowdStrike Holdings Inc,Software & IT Services,68045031346.8,0.038438,8.519,0.50628,8.927047
CCI.N,Crown Castle Inc,Real Estate,48881071748.73,0.443536,4.299,2.91704,8.414799
CCK.N,Crown Holdings Inc,Applied Resources,10960724440.65,0.492299,5.82,3.77718,7.155805
CYRX.OQ,Cryoport Inc,Transportation,715359905.37,0.405961,-4.209,0.75775,16.152494
CSGS.OQ,CSG Systems International Inc,Software & IT Services,1558919856.7,0.09457,,1.16248,6.043282
CSWI.OQ,CSW Industrials Inc,Industrial & Commercial Services,3326771733.57,0.042,,0.48129,8.950998
CSX.OQ,CSX Corp,Transportation,68887927880.1,0.072592,10.019,1.4306,5.426428
CTS.N,CTS Corp,Technology Equipment,1306456197.9,0.039064,,0.16528,4.638062
CUBE.N,CubeSmart,Real Estate,10174958711.5,0.17157,4.519,1.08341,6.947071
CFR.N,Cullen/Frost Bankers Inc,Banking & Investment Services,6714066927.7,0.131659,1.11,1.64942,9.847942
CGEM.OQ,Cullinan Oncology Inc,Pharmaceuticals & Medical Research,453047019.96,0.048015,,0.00033,15.757439
CMI.N,Cummins Inc,Automobiles & Auto Parts,33614794260.45,0.073779,5.1,0.87521,6.899375
CVAC.OQ,CureVac NV,Pharmaceuticals & Medical Research,868823987.04,0.391921,-24.67,0.07892,16.34723
CW.N,Curtiss-Wright Corp,Industrial Goods,8508671005.0,0.036521,,0.63421,5.20673
CWK.N,Cushman & Wakefield PLC,Real Estate,2256625765.5,0.620027,5.75,1.96322,16.716511
CUBI.N,Customers Bancorp Inc,Banking & Investment Services,1620017195.22,0.19708,1.08,0.87382,24.682253
CVBF.OQ,CVB Financial Corp,Banking & Investment Services,2658567017.52,0.134666,1.459,0.80083,18.544023
CVI.N,CVR Energy Inc,Energy - Fossil Fuels,3100363673.16,0.173895,15.13,2.99623,10.842916
CVS.N,CVS Health Corp,Healthcare Services & Equipment,98524802317.92,0.136798,4.99,0.73582,7.435789
CWCO.OQ,Consolidated Water Co Ltd,Utilities,521398533.04,0.020647,,0.00207,10.645526
CYBR.OQ,Cyberark Software Ltd,Software & IT Services,9359133639.94,0.039877,-1.02,0.83956,8.675103
CBAY.OQ,CymaBay Therapeutics Inc,Pharmaceuticals & Medical Research,2694463667.28,0.156324,,2.49563,17.656356
CTKB.OQ,Cytek Biosciences Inc,Healthcare Services & Equipment,1112858554.34,0.081086,,0.0067,24.123974
CYTK.OQ,Cytokinetics Inc,Pharmaceuticals & Medical Research,8393392183.2,0.608377,-41.909,,27.108849
DAN.N,Dana Inc,Automobiles & Auto Parts,1892273172.72,0.468754,0.72,1.55255,15.267565
DHR.N,Danaher Corp,Healthcare Services & Equipment,166435941580.68,0.057797,9.75,0.40643,6.955621
DAC.N,Danaos Corp,Transportation,1481577637.92,0.112799,,0.19604,6.89158
DRI.N,Darden Restaurants Inc,Cyclical Consumer Services,18763021046.69,0.076017,9.64,0.94072,6.273067
DAR.N,Darling Ingredients Inc,Food & Beverages,7222026587.22,0.35249,12.98,0.88863,12.757809
DDOG.OQ,Datadog Inc,Software & IT Services,40412102148.0,0.038252,12.56,0.52382,16.005723
PLAY.OQ,Dave & Buster's Entertainment Inc,Cyclical Consumer Services,1978912662.72,0.80939,,2.99904,14.663103
DVA.N,DaVita Inc,Healthcare Services & Equipment,9960830000.0,0.304207,3.209,12.528,14.581494
DAWN.OQ,Day One Biopharmaceuticals Inc,Pharmaceuticals & Medical Research,1213378486.02,0.078294,-44.509,,16.785068
DCPH.OQ,Deciphera Pharmaceuticals Inc,Pharmaceuticals & Medical Research,1189027367.92,0.089272,-40.5,,15.51303
DECK.N,Deckers Outdoor Corp,Cyclical Consumer Products,18183494038.32,0.01242,21.14,0.00054,8.931955
DE.N,Deere & Co,Industrial Goods,108218880402.09,0.115827,9.76,2.91076,6.593346
DH.OQ,Definitive Healthcare Corp,Software & IT Services,1462859365.96,0.174101,1.7,0.27859,16.133383
DK.N,Delek US Holdings Inc,Energy - Fossil Fuels,1621354092.56,0.464595,4.53,3.23622,10.675903
DELL.N,Dell Technologies Inc,Technology Equipment,56437084113.41,0.070869,6.29,,9.674327
DAL.N,Delta Air Lines Inc,Transportation,24754038267.51,0.2105,5.519,1.82708,12.253032
DLX.N,Deluxe Corp,Industrial & Commercial Services,876035527.25,0.449452,,2.7701,12.144516
DNLI.OQ,Denali Therapeutics Inc,Pharmaceuticals & Medical Research,2562169561.92,0.099203,-22.76,,15.14333
DENN.OQ,Denny's Corp,Cyclical Consumer Services,553681180.92,0.485276,6.77,,10.322647
XRAY.OQ,DENTSPLY SIRONA Inc,Healthcare Services & Equipment,7745615894.96,0.089267,5.35,0.5101,9.022709
DBI.N,Designer Brands Inc,Retailers,493520548.08,1.013621,,0.64919,12.072106
DM.N,Desktop Metal Inc,Technology Equipment,201336474.38,1.231299,-12.21,0.21486,17.659499
DVN.N,Devon Energy Corp,Energy - Fossil Fuels,27402739000.0,0.157946,24.48,0.59971,10.830134
DXCM.OQ,Dexcom Inc,Healthcare Services & Equipment,48296741875.0,0.056387,6.919,0.95417,15.749087
DHT.N,DHT Holdings Inc,Energy - Fossil Fuels,1764554980.32,0.047844,,0.37127,13.337772
DO.N,Diamond Offshore Drilling Inc,Energy - Fossil Fuels,1241165884.26,0.446104,-6.75,0.7489,13.549559
FANG.OQ,Diamondback Energy Inc,Energy - Fossil Fuels,27535038708.24,0.078986,17.44,0.41628,9.653018
DRH.N,Diamondrock Hospitality Co,Real Estate,1964206835.89,0.135555,3.22,0.74586,7.48642
DKS.N,DICK'S Sporting Goods Inc,Retailers,11512861155.88,0.118491,11.82,0.61023,11.149061
DGII.OQ,Digi International Inc,Technology Equipment,864781304.96,0.10228,,0.37665,13.414543
DMRC.OQ,Digimarc Corp,Software & IT Services,738379944.9,0.066441,,,19.464258
DLR.N,Digital Realty Trust Inc,Real Estate,41514964497.2,0.24093,0.87,0.98488,7.692722
APPS.OQ,Digital Turbine Inc,Software & IT Services,595688740.92,0.738852,,0.67844,20.845791
DWAC.OQ,Digital World Acquisition Corp,Investment Holding Companies,644489081.52,,,0.01311,
DBRG.N,DigitalBridge Group Inc,Real Estate,2969176398.23,0.91461,-3.029,6.15076,15.999868
DOCN.N,DigitalOcean Holdings Inc,Software & IT Services,3067938711.45,0.140559,5.349,30.90815,19.950742
DDS.N,Dillard's Inc,Retailers,6252539842.56,0.211178,,0.32612,14.417135
DCOM.OQ,Dime Community Bancshares Inc,Banking & Investment Services,990709010.72,0.316348,1.22,1.26555,16.61568
DIN.N,Dine Brands Global Inc,Cyclical Consumer Services,685515036.34,0.315338,5.08,,8.279997
DIOD.OQ,Diodes Inc,Technology Equipment,3319956098.91,0.053628,,0.12256,9.931808
IRON.OQ,Disc Medicine Inc,Pharmaceuticals & Medical Research,1513846239.88,0.047088,,,17.497071
DFS.N,Discover Financial Services,Banking & Investment Services,27388847811.15,0.272632,3.56,1.51325,13.550313
DLO.OQ,Dlocal Ltd,Industrial & Commercial Services,5157026305.86,0.048678,15.419,0.01021,16.262626
BOOM.OQ,DMC Global Inc,Energy - Fossil Fuels,329820786.89,0.325294,1.399,0.34887,16.359669
DCGO.OQ,DocGo Inc,Healthcare Services & Equipment,333507216.09,0.130759,9.839,0.03861,20.447991
DOCU.OQ,DocuSign Inc,Software & IT Services,12959998963.7,0.042837,15.089,1.17107,12.587052
DLB.N,Dolby Laboratories Inc,Software & IT Services,8151644189.5,0.012747,,,6.735167
DOLE.N,Dole PLC,Food & Beverages,1141046580.0,0.13309,1.99,1.06222,8.272228
DG.N,Dollar General Corp,Retailers,29553110278.56,0.322364,8.72,1.53847,12.625015
DLTR.OQ,Dollar Tree Inc,Retailers,29578294167.12,0.133839,7.219,0.39097,10.73168
D.N,Dominion Energy Inc,Utilities,39605591171.43,0.444737,3.439,1.75025,6.491444
DPZ.N,Domino's Pizza Inc,Cyclical Consumer Services,14346548307.9,0.07529,27.629,,9.386234
DOMO.OQ,Domo Inc,Software & IT Services,343474007.24,0.659377,,,22.939925
DCI.N,Donaldson Company Inc,Industrial & Commercial Services,7600987194.21,0.032066,13.97,0.49648,2.276906
DFIN.N,Donnelley Financial Solutions Inc,Industrial & Commercial Services,1746458400.0,0.129455,,0.53505,12.475315
DASH.OQ,DoorDash Inc,Software & IT Services,41465472972.3,0.043336,-16.449,,11.399859
LPG.N,Dorian LPG Ltd,Energy - Fossil Fuels,1727053646.76,0.149712,,0.75227,10.230375
DORM.OQ,Dorman Products Inc,Automobiles & Auto Parts,2543295048.55,0.137823,,0.7043,8.135457
DV.N,DoubleVerify Holdings Inc,Software & IT Services,6257186574.12,0.024122,4.49,0.00299,14.41023
DEI.N,Douglas Emmett Inc,Real Estate,2407692821.2,0.642652,1.02,2.02617,15.644231
DOV.N,Dover Corp,Industrial Goods,20583435788.16,0.081866,11.39,0.86018,7.032468
DOW.N,Dow Inc,Chemicals,37433558210.22,0.221777,7.4,0.74438,7.861524
DOCS.N,Doximity Inc,Software & IT Services,5491715880.28,0.021874,14.56,,16.234945
DHI.N,DR Horton Inc,Cyclical Consumer Products,51255312438.72,0.071881,15.08,0.22446,9.022768
DKNG.OQ,DraftKings Inc,Cyclical Consumer Services,15362671692.35,0.196492,-33.99,0.94588,11.235435
DFH.N,Dream Finders Homes Inc,Cyclical Consumer Products,3039054161.28,0.297726,,1.52965,15.69205
DRQ.N,Dril-Quip Inc,Energy - Fossil Fuels,719211435.12,0.068751,-0.94,,11.551151
DRVN.OQ,Driven Brands Holdings Inc,Personal & Household Products & Services,2172459731.25,0.868748,3.29,1.65661,18.224223
DBX.OQ,Dropbox Inc,Software & IT Services,10915592056.6,0.07852,18.51,,8.698258
DTM.N,DT Midstream Inc,Energy - Fossil Fuels,5268435570.93,0.134885,,0.84577,5.812311
DTE.N,DTE Energy Co,Utilities,22451262433.95,0.143365,2.9,1.84351,5.198453
NAPA.N,Duckhorn Portfolio Inc,Food & Beverages,1071766025.9,0.1132,5.95,0.24775,6.129689
DCO.N,Ducommun Inc,Industrial Goods,732884189.59,0.163016,,0.46932,9.65006
DUK.N,Duke Energy Corp,Utilities,75884276738.88,0.108276,2.33,1.55623,3.948505
DNB.N,Dun & Bradstreet Holdings Inc,Industrial & Commercial Services,5083151797.44,0.164537,4.849,1.02446,12.617839
DUOL.OQ,Duolingo Inc,Software & IT Services,8907349130.16,0.023756,,,12.151509
DD.N,Dupont De Nemours Inc,Chemicals,32481109420.76,0.140618,3.91,0.30389,6.650643
BROS.N,Dutch Bros Inc,Cyclical Consumer Services,4934434598.24,0.372765,2.899,3.52292,16.460402
DHC.OQ,Diversified Healthcare Trust,Real Estate,726160053.98,8.059916,,1.15511,46.156954
DXC.N,DXC Technology Co,Software & IT Services,4684237716.4,0.224913,4.49,1.25822,14.157042
DXPE.OQ,DXP Enterprises Inc,Industrial Goods,512630496.28,0.349804,,1.13191,11.005417
DY.N,Dycom Industries Inc,Industrial & Commercial Services,3327260799.17,0.173393,,0.94948,13.261026
DT.N,Dynatrace Inc,Software & IT Services,16559689612.5,0.015342,10.64,0.00966,9.918318
DVAX.OQ,Dynavax Technologies Corp,Pharmaceuticals & Medical Research,1800603640.5,0.130702,,0.38136,9.502404
DYN.OQ,Dyne Therapeutics Inc,Pharmaceuticals & Medical Research,1310726585.12,0.090277,-45.929,,21.926647
DX.N,Dynex Capital Inc,Real Estate,725624602.08,0.762461,1.209,3.33319,9.320544
ETWO.N,E2open Parent Holdings Inc,Software & IT Services,1110777535.23,0.60027,1.73,0.4227,27.121867
EGBN.OQ,Eagle Bancorp Inc,Banking & Investment Services,815787721.32,0.454459,1.229,0.87916,25.213904
EXP.N,Eagle Materials Inc,Mineral Resources,7078898646.99,0.082014,17.219,0.91848,7.466843
EWBC.OQ,East West Bancorp Inc,Banking & Investment Services,10117374894.18,0.142718,1.8,0.07559,15.068948
DEA.N,Easterly Government Properties Inc,Real Estate,1284260518.72,0.389589,,1.00521,9.606643
EBC.OQ,Eastern Bankshares Inc,Banking & Investment Services,2447042392.91,0.180124,0.9,0.28485,12.190676
EGP.N,Eastgroup Properties Inc,Real Estate,8368200641.02,0.114031,,0.96012,4.6446
EMN.N,Eastman Chemical Co,Chemicals,10306769650.09,0.140495,6.519,0.99961,6.521924
KODK.N,Eastman Kodak Co,Technology Equipment,278435381.0,1.591389,,0.30428,12.718301
ETN.N,Eaton Corporation PLC,Industrial Goods,96674523000.0,0.051508,8.779,0.50801,6.36372
EBAY.OQ,eBay Inc,Software & IT Services,21387990000.0,0.078489,9.74,1.72152,6.39426
SATS.OQ,EchoStar Corp,Telecommunications Services,4358877555.12,0.48788,,0.42733,20.01867
ECL.N,Ecolab Inc,Chemicals,56720012994.4,0.093649,6.03,1.18578,5.640159
ECVT.N,Ecovyst Inc,Chemicals,1039246210.25,0.187868,5.93,1.25187,8.539062
EPC.N,Edgewell Personal Care Co,Personal & Household Products & Services,1899255207.98,0.141825,3.56,0.89594,6.803867
EIX.N,Edison International,Utilities,27371463359.68,0.084285,2.31,2.32016,4.081273
EDIT.OQ,Editas Medicine Inc,Pharmaceuticals & Medical Research,740780350.16,0.161928,-36.99,,15.514344
EW.N,Edwards Lifesciences Corp,Healthcare Services & Equipment,44899195000.0,0.040683,18.46,0.10269,7.6224
ELAN.N,Elanco Animal Health Inc,Pharmaceuticals & Medical Research,7663010657.15,0.306755,3.43,0.80066,17.467501
ESTC.N,Elastic NV,Software & IT Services,11152637722.24,0.087891,5.96,1.42278,16.669786
EA.OQ,Electronic Arts Inc,Software & IT Services,37095852370.24,0.023242,13.21,0.25778,6.845888
ESI.N,Element Solutions Inc,Chemicals,5371322823.36,0.095886,7.12,0.81256,5.805607
ELV.N,Elevance Health Inc,Healthcare Services & Equipment,111633784221.2,0.05424,7.059,0.66534,4.747187
ELF.N,elf Beauty Inc,Retailers,8699949064.2,0.037051,16.839,0.16169,17.594367
EFC.N,Ellington Financial Inc,Real Estate,1017890486.4,0.874337,1.04,12.80761,8.849514
ELME.N,Elme Communities,Real Estate,1297287620.16,0.240251,-1.649,0.43717,5.986111
EMBC.OQ,Embecta Corp,Healthcare Services & Equipment,993152121.0,0.134454,,,15.285107
EME.N,EMCOR Group Inc,Industrial & Commercial Services,10301791471.2,0.027307,,0.12525,6.500881
EMR.N,Emerson Electric Co,Industrial Goods,54220450383.16,0.058033,6.53,0.39432,6.823666
ESRT.N,Empire State Realty Trust Inc,Real Estate,1665419139.0,0.429287,0.86,2.35352,13.126001
EIG.N,Employers Holdings Inc,Insurance,1011594226.41,0.046875,,0.19371,5.247714
ACT.OQ,Enact Holdings Inc,Insurance,4503635231.4,0.022448,12.17,0.18114,6.562662
ENTA.OQ,Enanta Pharmaceuticals Inc,Pharmaceuticals & Medical Research,236070549.25,0.366016,-31.949,0.00657,17.698113
EHC.N,Encompass Health Corp,Healthcare Services & Equipment,6910600476.24,0.160361,4.58,2.11173,9.15274
ECPG.OQ,Encore Capital Group Inc,Banking & Investment Services,1158312830.31,0.636662,4.269,2.4574,12.075509
WIRE.OQ,Encore Wire Corp,Industrial Goods,3412572967.17,0.020535,,0.00016,9.502848
EDR.N,Endeavor Group Holdings Inc,Cyclical Consumer Services,11014896643.95,0.3032,26.98,2.74799,11.720505
ENR.N,Energizer Holdings Inc,Industrial Goods,2304556984.34,0.444089,4.929,15.91172,6.353645
ERII.OQ,Energy Recovery Inc,Industrial Goods,1012236180.03,0.054766,,0.08356,10.039356
NRGV.N,Energy Vault Holdings Inc,Industrial Goods,262688669.43,0.229011,,0.00019,23.059174
EPAC.N,Enerpac Tool Group Corp,Industrial Goods,1585990628.9,0.120241,,0.65546,5.579914
ENS.N,EnerSys,Industrial Goods,3957094881.45,0.109526,6.009,0.67049,11.051066
ESMT.N,EngageSmart Inc,Software & IT Services,3868331888.58,0.021902,3.31,0.0,9.379672
EHAB.N,Enhabit Inc,Healthcare Services & Equipment,522851686.28,1.240115,4.5,0.78617,18.503393
ELVN.OQ,Enliven Therapeutics Inc,Pharmaceuticals & Medical Research,506907267.9,0.07047,,0.0,13.522669
ENVA.N,Enova International Inc,Banking & Investment Services,1638301815.1,0.536357,6.969,1.9042,14.691284
ENOV.N,Enovis Corp,Healthcare Services & Equipment,3159908996.84,0.089416,1.93,0.0752,10.619865
ENVX.OQ,Enovix Corp,Industrial Goods,1838804497.68,0.319313,-19.829,0.0,21.056156
ENPH.OQ,Enphase Energy Inc,Renewable Energy,15050675027.52,0.22373,25.079,1.56298,20.697297
NPO.N,Enpro Inc,Industrial Goods,3010660416.0,0.108222,5.5,0.56677,12.13913
ENSG.OQ,Ensign Group Inc,Healthcare Services & Equipment,6625799174.06,0.038653,,0.12278,6.054159
ESGR.OQ,Enstar Group Ltd,Insurance,4343769725.68,1.509507,,0.39649,6.836575
ENTG.OQ,Entegris Inc,Technology Equipment,16786261530.57,0.321617,32.06,1.79767,11.159611
ETR.N,Entergy Corp,Utilities,21809218121.62,0.250143,2.24,2.06901,3.129024
EFSC.OQ,Enterprise Financial Services Corp,Banking & Investment Services,1619172544.81,0.158737,1.41,0.39962,9.279711
ENV.N,Envestnet Inc,Software & IT Services,2748120523.8,0.28338,5.62,1.21481,15.610593
NVRI.N,Enviri Corp,Industrial & Commercial Services,728082204.0,1.439977,,2.38258,16.847828
NVST.N,Envista Holdings Corp,Healthcare Services & Equipment,4146223330.3,0.093782,5.25,0.3282,9.765494
EOG.N,EOG Resources Inc,Energy - Fossil Fuels,67674511312.1,0.051241,20.3,0.20493,10.273015
EOSE.OQ,Eos Energy Enterprises Inc,Industrial Goods,150551580.3856,4.593184,,,28.837105
EPAM.N,Epam Systems Inc,Software & IT Services,17756167479.48,0.038896,17.12,0.01018,13.183007
PLUS.OQ,ePlus inc,Software & IT Services,2068919773.72,0.025643,,0.05157,13.760842
EPR.N,EPR Properties,Real Estate,3578901409.34,0.638174,2.629,1.10828,8.010155
EQC.N,Equity Commonwealth,Real Estate,2077683535.62,0.003181,,0.0,4.68919
EQT.N,EQT Corp,Energy - Fossil Fuels,15556576240.0,0.225336,5.7,0.5083,8.509782
ELS.N,Equity LifeStyle Properties Inc,Real Estate,13103408637.8,0.144557,,2.34397,4.653856
EFX.N,Equifax Inc,Industrial & Commercial Services,30035321317.76,0.166287,8.259,1.46273,10.900469
EQIX.OQ,Equinix Inc,Real Estate,76516868228.48,0.146734,2.419,1.30864,4.100584
EQH.N,Equitable Holdings Inc,Banking & Investment Services,11054988947.28,0.268122,0.74,,13.316358
ETRN.N,Equitrans Midstream Corp,Energy - Fossil Fuels,4726877510.0,0.609253,1.87,7.59897,18.586927
EQR.N,Equity Residential,Real Estate,23603701897.44,0.101496,3.74,0.673,7.669166
ERIE.OQ,Erie Indemnity Co,Insurance,17853852529.92,0.01194,,0.0,11.813609
ZGN.N,Ermenegildo Zegna NV,Cyclical Consumer Products,2710648046.05,0.150644,2.42,1.34703,12.244022
ESAB.N,ESAB Corp,Industrial Goods,5058551072.96,0.094207,7.08,0.90256,4.387445
ESE.N,ESCO Technologies Inc,Industrial Goods,2646320388.6,0.04634,,0.10772,5.194494
ESNT.N,Essent Group Ltd,Insurance,5718064207.44,0.028098,14.52,0.09432,7.898952
WTRG.N,Essential Utilities Inc,Utilities,10486521000.0,0.249293,3.06,1.26435,5.479498
EPRT.N,Essential Properties Realty Trust Inc,Real Estate,4016063474.28,0.192972,3.68,0.57099,4.507814
ESS.N,Essex Property Trust Inc,Real Estate,15987101164.32,0.115302,3.22,1.0423,7.730969
ESTA.OQ,Establishment Labs Holdings Inc,Healthcare Services & Equipment,915160899.6,0.925413,,,22.967262
EL.N,Estee Lauder Companies Inc,Personal & Household Products & Services,48241299202.33,0.273405,5.629,1.45282,11.967243
ETD.N,Ethan Allen Interiors Inc,Cyclical Consumer Products,748008030.3,0.062511,,0.00973,8.284815
ETSY.OQ,ETSY Inc,Retailers,8422951506.36,0.157958,-21.469,,15.396377
EWCZ.OQ,European Wax Center Inc,Personal & Household Products & Services,962846218.38,0.311821,10.75,4.74601,13.837364
EEFT.OQ,Euronet Worldwide Inc,Industrial & Commercial Services,4589082782.5,0.107272,6.54,1.29541,12.192515
EB.N,Eventbrite Inc,Software & IT Services,774798624.6,0.21402,-6.16,2.13491,12.665324
EVBG.OQ,Everbridge Inc,Software & IT Services,904340877.36,0.156839,-5.4,1.73047,15.158842
EVR.N,Evercore Inc,Banking & Investment Services,6327116025.15,0.072586,14.25,0.25243,9.856164
EG.N,Everest Group Ltd,Insurance,16073114762.32,0.03949,2.73,0.36536,7.034802
EVRG.OQ,Evergy Inc,Utilities,12370462764.45,0.112453,2.94,1.27404,3.751047
EVRI.N,Everi Holdings Inc,Cyclical Consumer Services,901871595.1,0.206577,6.629,4.49362,10.112096
ES.N,Eversource Energy,Utilities,19869674767.92,0.268523,2.79,1.48632,6.247242
EVTC.N,Evertec Inc,Industrial & Commercial Services,2507033464.38,0.118375,14.72,0.91249,8.01804
EVGO.OQ,EVgo Inc,Utilities,811249063.58,1.180885,-15.12,,15.958692
EVH.N,Evolent Health Inc,Healthcare Services & Equipment,3618931009.72,0.136714,5.509,0.48054,7.342842
EOLS.OQ,Evolus Inc,Pharmaceuticals & Medical Research,602940117.1,0.299911,-23.929,3.88556,14.713905
EVLV.OQ,Evolv Technologies Holdings Inc,Technology Equipment,664992336.8,0.113059,,0.13077,26.647375
EXAS.OQ,Exact Sciences Corp,Pharmaceuticals & Medical Research,12138648241.28,0.332571,-9.66,0.73828,11.260648
EE.N,Excelerate Energy Inc,Utilities,1592836384.05,0.752674,11.4,1.32795,10.983664
EXEL.OQ,Exelixis Inc,Pharmaceuticals & Medical Research,7059112365.1,0.023006,6.41,,5.184184
EXC.OQ,Exelon Corp,Utilities,35905427595.12,0.298478,1.96,1.61857,3.660208
EXLS.OQ,Exlservice Holdings Inc,Industrial & Commercial Services,5089516589.62,0.030432,15.48,0.33042,7.179804
EXPI.OQ,eXp World Holdings Inc,Real Estate,2054752168.4,0.051168,,0.01895,20.55614
EXPE.OQ,Expedia Group Inc,Cyclical Consumer Services,20634235757.52,0.102831,4.969,2.73325,12.081941
EXPD.N,Expeditors International of Washington Inc,Transportation,18415017730.86,0.013013,20.57,0.0,4.087294
EXPO.OQ,Exponent Inc,Industrial & Commercial Services,4648152257.16,0.013392,,,10.128222
XPRO.N,Expro Group Holdings NV,Energy - Fossil Fuels,1831622063.4,0.193773,1.02,0.01153,16.312889
EXR.N,Extra Space Storage Inc,Real Estate,32181837847.04,0.224738,7.599,2.29385,8.580493
EXTR.OQ,Extreme Networks Inc,Technology Equipment,2102336306.38,0.101004,,1.90076,19.38327
XOM.N,Exxon Mobil Corp,Energy - Fossil Fuels,399477608676.3,0.049261,16.699,0.21186,8.741595
EYPT.OQ,EyePoint Pharmaceuticals Inc,Pharmaceuticals & Medical Research,1111572066.68,0.192244,,0.41322,46.015959
EZPW.OQ,EZCORP Inc,Banking & Investment Services,467283718.02,0.123792,,0.48588,5.820228
FG.N,F&G Annuities & Life Inc,Insurance,5293452704.1,0.116957,0.86,0.4632,19.182761
FFIV.OQ,F5 Inc,Software & IT Services,10517425217.65,0.019215,13.4,0.0,5.704875
FN.N,Fabrinet,Technology Equipment,6859265990.4,0.013695,14.82,0.00828,14.078957
FDS.N,Factset Research Systems Inc,Industrial & Commercial Services,17769585185.28,0.05909,14.22,0.99554,4.379114
FICO.N,Fair Isaac Corp,Software & IT Services,30422141531.43,0.045908,33.149,,5.774214
FFIE.OQ,Faraday Future Intelligent Electric Inc,Automobiles & Auto Parts,21755779.038,4.252977,,0.23883,64.137091
AGM.N,Federal Agricultural Mortgage Corp,Banking & Investment Services,1893874019.4775,0.274518,,32.5758,9.137891
FPI.N,Farmland Partners Inc,Real Estate,546910521.15,0.399026,,0.75221,11.561166
FARO.OQ,FARO Technologies Inc,Technology Equipment,410549206.62,0.283872,,0.00094,31.048331
FAST.OQ,Fastenal Co,Industrial Goods,36308032000.0,0.009509,24.57,0.17546,4.425142
FSLY.N,Fastly Inc,Software & IT Services,2337396000.0,0.216886,-3.569,0.78434,20.966674
FBK.N,FB Financial Corp,Banking & Investment Services,1796912824.0,0.2831,0.98,0.31362,12.994785
FRT.N,Federal Realty Investment Trust,Real Estate,8399023472.7,0.283718,4.759,1.57364,7.679928
FSS.N,Federal Signal Corp,Industrial Goods,4522745788.99,0.0508,8.31,0.42165,7.139693
FHI.N,Federated Hermes Inc,Banking & Investment Services,2904200799.5,0.061987,13.419,0.33239,6.875082
FDX.N,FedEx Corp,Transportation,62115790656.36,0.112684,4.44,0.78883,6.703031
GSM.OQ,Ferroglobe PLC,Mineral Resources,1143344612.3,0.171709,,0.68269,12.635257
FIS.N,Fidelity National Information Services Inc,Financial Technology (Fintech) & Infrastructure,36609561705.79,0.141571,5.519,0.73984,10.153429
FITB.OQ,Fifth Third Bancorp,Banking & Investment Services,23399730925.76,0.332018,1.11,1.22333,15.473158
FIGS.N,Figs Inc,Healthcare Services & Equipment,1031722865.6,0.029474,8.25,0.0143,21.915919
FA.OQ,First Advantage Corp,Industrial & Commercial Services,2308859311.37,0.093307,8.3,0.49418,5.855136
FAF.N,First American Financial Corp,Insurance,6392080172.1,0.133324,4.16,0.4313,8.774706
FBNC.OQ,First Bancorp (North Carolina),Banking & Investment Services,1422975027.34,0.217854,1.39,0.2787,11.6856
FBP.N,First Bancorp,Banking & Investment Services,2707343798.34,0.099354,1.57,0.70454,11.416778
FBMS.OQ,First Bancshares Inc (Mississippi),Banking & Investment Services,855603184.64,0.113782,0.97,0.42842,9.740464
BUSE.OQ,First Busey Corp,Banking & Investment Services,1308530846.72,0.104774,1.06,0.78946,10.349438
FCF.N,First Commonwealth Financial Corp,Banking & Investment Services,1473468064.77,0.137491,1.34,0.5265,11.847079
FFBC.OQ,First Financial Bancorp,Banking & Investment Services,2180189066.04,0.17503,1.31,0.80374,10.134017
FFWM.N,First Foundation Inc,Banking & Investment Services,538473603.96,0.714748,1.0,1.20765,36.804558
FHB.OQ,First Hawaiian Inc,Banking & Investment Services,2752592630.31,0.176145,1.06,0.03305,13.023904
FR.N,First Industrial Realty Trust Inc,Real Estate,7044965061.98,0.140157,7.86,0.84023,7.045315
FIBK.OQ,First Interstate Bancsystem Inc,Banking & Investment Services,3052287964.62,0.233729,0.65,1.19194,14.266241
